UTC,航班号,识别码,海拔,经度,纬度,速度,方向,垂直速度
2018-04-15 11:31:36,CES2738,7867875,24625,30.730133,114.253396,529.0,46.0,64.0
2018-04-15 11:31:37,CES2738,7867875,24625,30.733109,114.25722,530.0,47.0,64.0
2018-04-15 11:31:37,CES2738,7867875,24625,30.733109,114.25722,530.0,47.0,64.0
2018-04-15 11:31:38,CES2738,7867875,24625,30.733749,114.258028,530.0,48.0,128.0
2018-04-15 11:31:38,CES2738,7867875,24625,30.733749,114.258028,530.0,48.0,128.0
2018-04-15 11:31:39,CES2738,7867875,24625,30.736627,114.261932,530.0,49.0,128.0
2018-04-15 11:31:42,CES2738,7867875,24650,30.740631,114.2677,532.0,51.0,128.0
2018-04-15 11:31:42,CES2738,7867875,24650,30.740631,114.2677,532.0,51.0,128.0
2018-04-15 11:31:43,CES2738,7867875,24650,30.742126,114.269984,533.0,52.0,128.0
2018-04-15 11:31:50,CES2738,7867875,24650,30.751785,114.286571,536.0,58.0,128.0
2018-04-15 11:32:08,CES2738,7867875,24650,30.771103,114.335148,539.0,69.0,64.0
